label	f1	precision	recall
	0.867570385818561	0.900	0.8370221327967807
	0.6071428571428572	0.570	0.648854961832061
	0.6627218934911243	0.691	0.6363636363636364
	0.7622641509433963	0.815	0.7163120567375887
	0.5283018867924528	0.544	0.5137614678899083
	0.5774647887323943	0.512	0.6612903225806451
	0.5619834710743802	0.479	0.68
	0.6206896551724138	0.713	0.549618320610687
	0.6391752577319588	0.756	0.5535714285714286
	0.6842105263157895	0.667	0.7027027027027027
macro	0.6511524873215329	0.665	0.6499497030085439
micro	0.7191539365452408	0.734	0.7050691244239631
